# portID	slaveID	chipID	channelID	regionID	xi	yi	x	y	z
# ASIC 0: X4 (N), X6 (N)									
0	0	0	16	0	97	0	0	0	0
0	0	0	17	0	99	0	0	0	0
0	0	0	21	0	101	0	0	0	0
0	0	0	23	0	103	0	0	0	0
0	0	0	25	0	105	0	0	0	0
0	0	0	26	0	107	0	0	0	0
0	0	0	29	0	109	0	0	0	0
0	0	0	31	0	111	0	0	0	0
0	0	0	34	0	113	0	0	0	0
0	0	0	36	0	115	0	0	0	0
0	0	0	37	0	117	0	0	0	0
0	0	0	41	0	119	0	0	0	0
0	0	0	43	0	121	0	0	0	0
0	0	0	44	0	123	0	0	0	0
0	0	0	45	0	125	0	0	0	0
0	0	0	48	0	127	0	0	0	0
0	0	0	18	0	98	0	0	0	0
0	0	0	19	0	100	0	0	0	0
0	0	0	20	0	102	0	0	0	0
0	0	0	22	0	104	0	0	0	0
0	0	0	24	0	106	0	0	0	0
0	0	0	28	0	108	0	0	0	0
0	0	0	30	0	110	0	0	0	0
0	0	0	32	0	112	0	0	0	0
0	0	0	33	0	114	0	0	0	0
0	0	0	35	0	116	0	0	0	0
0	0	0	39	0	118	0	0	0	0
0	0	0	40	0	120	0	0	0	0
0	0	0	42	0	122	0	0	0	0
0	0	0	46	0	124	0	0	0	0
0	0	0	47	0	126	0	0	0	0
0	0	0	49	0	128	0	0	0	0
0	0	0	1	0	161	0	0	0	0
0	0	0	10	0	163	0	0	0	0
0	0	0	12	0	165	0	0	0	0
0	0	0	14	0	167	0	0	0	0
0	0	0	8	0	169	0	0	0	0
0	0	0	6	0	171	0	0	0	0
0	0	0	13	0	173	0	0	0	0
0	0	0	11	0	175	0	0	0	0
0	0	0	38	0	177	0	0	0	0
0	0	0	62	0	179	0	0	0	0
0	0	0	61	0	181	0	0	0	0
0	0	0	50	0	183	0	0	0	0
0	0	0	52	0	185	0	0	0	0
0	0	0	54	0	187	0	0	0	0
0	0	0	56	0	189	0	0	0	0
0	0	0	60	0	191	0	0	0	0
0	0	0	0	0	162	0	0	0	0
0	0	0	3	0	164	0	0	0	0
0	0	0	5	0	166	0	0	0	0
0	0	0	7	0	168	0	0	0	0
0	0	0	15	0	170	0	0	0	0
0	0	0	4	0	172	0	0	0	0
0	0	0	2	0	174	0	0	0	0
0	0	0	27	0	176	0	0	0	0
0	0	0	9	0	178	0	0	0	0
0	0	0	58	0	180	0	0	0	0
0	0	0	59	0	182	0	0	0	0
0	0	0	57	0	184	0	0	0	0
0	0	0	51	0	186	0	0	0	0
0	0	0	53	0	188	0	0	0	0
0	0	0	55	0	190	0	0	0	0
0	0	0	63	0	192	0	0	0	0
# ASIC 1: X10 (N), X8 (N)									
0	0	1	16	0	289	0	0	0	0
0	0	1	17	0	291	0	0	0	0
0	0	1	21	0	293	0	0	0	0
0	0	1	23	0	295	0	0	0	0
0	0	1	25	0	297	0	0	0	0
0	0	1	26	0	299	0	0	0	0
0	0	1	29	0	301	0	0	0	0
0	0	1	31	0	303	0	0	0	0
0	0	1	34	0	305	0	0	0	0
0	0	1	36	0	307	0	0	0	0
0	0	1	37	0	309	0	0	0	0
0	0	1	41	0	311	0	0	0	0
0	0	1	43	0	313	0	0	0	0
0	0	1	44	0	315	0	0	0	0
0	0	1	45	0	317	0	0	0	0
0	0	1	48	0	319	0	0	0	0
0	0	1	18	0	290	0	0	0	0
0	0	1	19	0	292	0	0	0	0
0	0	1	20	0	294	0	0	0	0
0	0	1	22	0	296	0	0	0	0
0	0	1	24	0	298	0	0	0	0
0	0	1	28	0	300	0	0	0	0
0	0	1	30	0	302	0	0	0	0
0	0	1	32	0	304	0	0	0	0
0	0	1	33	0	306	0	0	0	0
0	0	1	35	0	308	0	0	0	0
0	0	1	39	0	310	0	0	0	0
0	0	1	40	0	312	0	0	0	0
0	0	1	42	0	314	0	0	0	0
0	0	1	46	0	316	0	0	0	0
0	0	1	47	0	318	0	0	0	0
0	0	1	49	0	320	0	0	0	0
0	0	1	1	0	225	0	0	0	0
0	0	1	10	0	227	0	0	0	0
0	0	1	12	0	229	0	0	0	0
0	0	1	14	0	231	0	0	0	0
0	0	1	8	0	233	0	0	0	0
0	0	1	6	0	235	0	0	0	0
0	0	1	13	0	237	0	0	0	0
0	0	1	11	0	239	0	0	0	0
0	0	1	38	0	241	0	0	0	0
0	0	1	62	0	243	0	0	0	0
0	0	1	61	0	245	0	0	0	0
0	0	1	50	0	247	0	0	0	0
0	0	1	52	0	249	0	0	0	0
0	0	1	54	0	251	0	0	0	0
0	0	1	56	0	253	0	0	0	0
0	0	1	60	0	255	0	0	0	0
0	0	1	0	0	226	0	0	0	0
0	0	1	3	0	228	0	0	0	0
0	0	1	5	0	230	0	0	0	0
0	0	1	7	0	232	0	0	0	0
0	0	1	15	0	234	0	0	0	0
0	0	1	4	0	236	0	0	0	0
0	0	1	2	0	238	0	0	0	0
0	0	1	27	0	240	0	0	0	0
0	0	1	9	0	242	0	0	0	0
0	0	1	58	0	244	0	0	0	0
0	0	1	59	0	246	0	0	0	0
0	0	1	57	0	248	0	0	0	0
0	0	1	51	0	250	0	0	0	0
0	0	1	53	0	252	0	0	0	0
0	0	1	55	0	254	0	0	0	0
0	0	1	63	0	256	0	0	0	0
# ASIC 2: U9 (N), X2 (N)									
0	0	2	16	2	258	2	0	0	0
